Acc_Species_Name,Family,Genus,Species,Authority
Koelreuteria paniculata Laxm.,Sapindaceae,Koelreuteria,paniculata,Laxm.
Kopsia fruticosa (Roxb.) A.DC.,Apocynaceae,Kopsia,fruticosa,(Roxb.) A.DC.
Lablab purpureus (L.) Sweet,Fabaceae,Lablab,purpureus,(L.) Sweet
Laburnum anagyroides Medik.,Fabaceae,Laburnum,anagyroides,Medik.
Lagerstroemia floribunda Jack,Lythraceae,Lagerstroemia,floribunda,Jack
Lagerstroemia speciosa (L.) Pers.,Lythraceae,Lagerstroemia,speciosa,(L.) Pers.
Lagerstroemia indica L.,Lythraceae,Lagerstroemia,indica,L.
Lagerstroemia thorelii Gagnep.,Lythraceae,Lagerstroemia,thorelii,Gagnep.
Lagerstroemia tomentosa C.Presl,Lythraceae,Lagerstroemia,tomentosa,C.Presl
Lagerstroemia turbinata Koehne,Lythraceae,Lagerstroemia,turbinata,Koehne
Lens culinaris Medik.,Fabaceae,Lens,culinaris,Medik.
Lepisanthes fruticosa (Roxb.) Leenh.,Sapindaceae,Lepisanthes,fruticosa,(Roxb.) Leenh.
Leptospermum scoparium J.R.Forst. & G.Forst.,Myrtaceae,Leptospermum,scoparium,J.R.Forst. & G.Forst.
Licania platypus (Hemsl.) Fritsch,Chrysobalanaceae,Licania,platypus,(Hemsl.) Fritsch
Licuala grandis H.Wendl.,Arecaceae,Licuala,grandis,H.Wendl.
Ligustrum lucidum W.T.Aiton,Oleaceae,Ligustrum,lucidum,W.T.Aiton
Limonium sinuatum (L.) Mill.,Plumbaginaceae,Limonium,sinuatum,(L.) Mill.
Linaria incarnata (Vent.) Spreng.,Plantaginaceae,Linaria,incarnata,(Vent.) Spreng.
Linum grandiflorum Desf.,Linaceae,Linum,grandiflorum,Desf.
Liquidambar formosana Hance,Altingiaceae,Liquidambar,formosana,Hance
Liquidambar styraciflua L.,Altingiaceae,Liquidambar,styraciflua,L.
Liriodendron tulipifera L.,Magnoliaceae,Liriodendron,tulipifera,L.
Litchi chinensis Sonn.,Sapindaceae,Litchi,chinensis,Sonn.
Livistona australis (R.Br.) Mart.,Arecaceae,Livistona,australis,(R.Br.) Mart.
Livistona chinensis (Jacq.) R.Br. ex Mart.,Arecaceae,Livistona,chinensis,(Jacq.) R.Br. ex Mart.
Saribus rotundifolius (Lam.) Blume,Arecaceae,Saribus,rotundifolius,(Lam.) Blume
Lobelia erinus L.,Campanulaceae,Lobelia,erinus,L.
Lobularia maritima (L.) Desv.,Brassicaceae,Lobularia,maritima,(L.) Desv.
Lodoicea maldivica (J.F.Gmel.) Pers.,Arecaceae,Lodoicea,maldivica,(J.F.Gmel.) Pers.
Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima,Fabaceae,Lonchocarpus,cultratus,(Vell.) A.M.G.Azevedo & H.C.Lima
Lonicera sempervirens L.,Caprifoliaceae,Lonicera,sempervirens,L.
Lophostemon confertus (R.Br.) Peter G.Wilson & J.T.Waterh.,Myrtaceae,Lophostemon,confertus,(R.Br.) Peter G.Wilson & J.T.Waterh.
Luehea candida (Moc. & Sessé ex DC.) Mart.,Malvaceae,Luehea,candida,(Moc. & Sessé ex DC.) Mart.
Lupinus albus L.,Fabaceae,Lupinus,albus,L.
Silene coeli-rosa (L.) Godr.,Caryophyllaceae,Silene,coeli-rosa,(L.) Godr.
Solanum lycopersicum L.,Solanaceae,Solanum,lycopersicum,L.
Maclura pomifera (Raf.) C.K.Schneid.,Moraceae,Maclura,pomifera,(Raf.) C.K.Schneid.
Macrotyloma uniflorum (Lam.) Verdc.,Fabaceae,Macrotyloma,uniflorum,(Lam.) Verdc.
Magnolia grandiflora L.,Magnoliaceae,Magnolia,grandiflora,L.
Magnolia liliifera (L.) Baill.,Magnoliaceae,Magnolia,liliifera,(L.) Baill.
Magnolia soulangeana Soul.-Bod.,Magnoliaceae,Magnolia,soulangeana,Soul.-Bod.
Malpighia coccigera L.,Malpighiaceae,Malpighia,coccigera,L.
Malpighia emarginata DC.,Malpighiaceae,Malpighia,emarginata,DC.
Malpighia glabra L.,Malpighiaceae,Malpighia,glabra,L.
Malus pumila Mill.,Rosaceae,Malus,pumila,Mill.
Malus sylvestris (L.) Mill.,Rosaceae,Malus,sylvestris,(L.) Mill.
Malvaviscus arboreus Cav.,Malvaceae,Malvaviscus,arboreus,Cav.
Mammea americana L.,Calophyllaceae,Mammea,americana,L.
Manihot dichotoma Ule,Euphorbiaceae,Manihot,dichotoma,Ule
Manihot esculenta Crantz,Euphorbiaceae,Manihot,esculenta,Crantz
Manihot grahamii Hook.,Euphorbiaceae,Manihot,grahamii,Hook.
Manilkara kauki (L.) Dubard,Sapotaceae,Manilkara,kauki,(L.) Dubard
Manilkara zapota (L.) P.Royen,Sapotaceae,Manilkara,zapota,(L.) P.Royen
Mansoa alliacea (Lam.) A.H.Gentry,Bignoniaceae,Mansoa,alliacea,(Lam.) A.H.Gentry
Maranta cristata Nees & Mart.,Marantaceae,Maranta,cristata,Nees & Mart.
Mascarenhasia arborescens A.DC.,Apocynaceae,Mascarenhasia,arborescens,A.DC.
Matthiola incana (L.) R.Br.,Brassicaceae,Matthiola,incana,(L.) R.Br.
Melaleuca bracteata F.Muell.,Myrtaceae,Melaleuca,bracteata,F.Muell.
Melaleuca leucadendra (L.) L.,Myrtaceae,Melaleuca,leucadendra,(L.) L.
Melaleuca styphelioides Sm.,Myrtaceae,Melaleuca,styphelioides,Sm.
Melocalamus compactiflorus (Kurz) Benth.,Poaceae,Melocalamus,compactiflorus,(Kurz) Benth.
Millettia brandisiana Kurz,Fabaceae,Millettia,brandisiana,Kurz
Millettia peguensis Ali,Fabaceae,Millettia,peguensis,Ali
Millingtonia hortensis L.f.,Bignoniaceae,Millingtonia,hortensis,L.f.
Mimulus luteus L.,Phrymaceae,Mimulus,luteus,L.
Moltkia suffruticosa (L.) Hegi,Boraginaceae,Moltkia,suffruticosa,(L.) Hegi
Monstera deliciosa Liebm.,Araceae,Monstera,deliciosa,Liebm.
Montanoa grandiflora Alamán ex DC.,Asteraceae,Montanoa,grandiflora,Alamán ex DC.
Morus nigra L.,Moraceae,Morus,nigra,L.
Muehlenbeckia platyclados (F.Muell.) Meisn.,Polygonaceae,Muehlenbeckia,platyclados,(F.Muell.) Meisn.
Musa textilis Née,Musaceae,Musa,textilis,Née
Pseudomussaenda flava Verdc.,Rubiaceae,Pseudomussaenda,flava,Verdc.
Mussaenda frondosa L.,Rubiaceae,Mussaenda,frondosa,L.
Mussaenda glabrata (Hook.f.) Hutch. ex Gamble,Rubiaceae,Mussaenda,glabrata,(Hook.f.) Hutch. ex Gamble
Pentas lanceolata (Forssk.) Deflers,Rubiaceae,Pentas,lanceolata,(Forssk.) Deflers
Mussaenda erythrophylla Schumach. & Thonn.,Rubiaceae,Mussaenda,erythrophylla,Schumach. & Thonn.
Mussaenda philippica A.Rich.,Rubiaceae,Mussaenda,philippica,A.Rich.
Myristica fragrans Houtt.,Myristicaceae,Myristica,fragrans,Houtt.
Myroxylon balsamum (L.) Harms,Fabaceae,Myroxylon,balsamum,(L.) Harms
Myrtus communis L.,Myrtaceae,Myrtus,communis,L.
Nandina domestica Thunb.,Berberidaceae,Nandina,domestica,Thunb.
Nauclea orientalis (L.) L.,Rubiaceae,Nauclea,orientalis,(L.) L.
Nemesia strumosa Benth.,Scrophulariaceae,Nemesia,strumosa,Benth.
Nemesia versicolor E.Mey. ex Benth.,Scrophulariaceae,Nemesia,versicolor,E.Mey. ex Benth.
Neolamarckia cadamba (Roxb.) Bosser,Rubiaceae,Neolamarckia,cadamba,(Roxb.) Bosser
Nephelium lappaceum L.,Sapindaceae,Nephelium,lappaceum,L.
Nicotiana alata Link & Otto,Solanaceae,Nicotiana,alata,Link & Otto
Nicotiana rustica L.,Solanaceae,Nicotiana,rustica,L.
Nigella damascena L.,Ranunculaceae,Nigella,damascena,L.
Nigella sativa L.,Ranunculaceae,Nigella,sativa,L.
Nyctanthes arbor-tristis L.,Oleaceae,Nyctanthes,arbor-tristis,L.
Disocactus flagelliformis (L.) Barthlott,Cactaceae,Disocactus,flagelliformis,(L.) Barthlott
Ochna atropurpurea DC.,Ochnaceae,Ochna,atropurpurea,DC.
Ochna thomasiana Engl. & Gilg,Ochnaceae,Ochna,thomasiana,Engl. & Gilg
Ochroma pyramidale (Cav. ex Lam.) Urb.,Malvaceae,Ochroma,pyramidale,(Cav. ex Lam.) Urb.
Ochrosia elliptica Labill.,Apocynaceae,Ochrosia,elliptica,Labill.
Ocimum kilimandscharicum Gürke,Lamiaceae,Ocimum,kilimandscharicum,Gürke
Odontadenia macrantha (Roem. & Schult.) Markgr.,Apocynaceae,Odontadenia,macrantha,(Roem. & Schult.) Markgr.
Oncoba spinosa Forssk.,Salicaceae,Oncoba,spinosa,Forssk.
Ormocarpum trachycarpum (Taub.) Harms,Fabaceae,Ormocarpum,trachycarpum,(Taub.) Harms
Oxytenanthera abyssinica (A.Rich.) Munro,Poaceae,Oxytenanthera,abyssinica,(A.Rich.) Munro
Gigantochloa albociliata (Munro) Kurz,Poaceae,Gigantochloa,albociliata,(Munro) Kurz
Pachystachys coccinea (Aubl.) Nees,Acanthaceae,Pachystachys,coccinea,(Aubl.) Nees
Polyscias obtusifolia Frodin,Araliaceae,Polyscias,obtusifolia,Frodin
Pandanus utilis Bory,Pandanaceae,Pandanus,utilis,Bory
Parkia biglandulosa Wight & Arn.,Fabaceae,Parkia,biglandulosa,Wight & Arn.
Parmentiera cereifera Seem.,Bignoniaceae,Parmentiera,cereifera,Seem.
Passiflora antioquiensis H.Karst.,Passifloraceae,Passiflora,antioquiensis,H.Karst.
Passiflora caerulea L.,Passifloraceae,Passiflora,caerulea,L.
Passiflora quadrangularis L.,Passifloraceae,Passiflora,quadrangularis,L.
Pavonia hastata Cav.,Malvaceae,Pavonia,hastata,Cav.
Peltophorum africanum Sond.,Fabaceae,Peltophorum,africanum,Sond.
Peltophorum pterocarpum (DC.) K.Heyne,Fabaceae,Peltophorum,pterocarpum,(DC.) K.Heyne
Peltophorum dubium (Spreng.) Taub.,Fabaceae,Peltophorum,dubium,(Spreng.) Taub.
Pereskia aculeata Mill.,Cactaceae,Pereskia,aculeata,Mill.
Pereskia grandiflora Pfeiff.,Cactaceae,Pereskia,grandiflora,Pfeiff.
Persea americana Mill.,Lauraceae,Persea,americana,Mill.
Petrea volubilis L.,Verbenaceae,Petrea,volubilis,L.
Petunia hybrida E.Vilm.,Solanaceae,Petunia,hybrida,E.Vilm.
"Petunia axillaris (Lam.) Britton, Sterns & Poggenb.",Solanaceae,Petunia,axillaris,"(Lam.) Britton, Sterns & Poggenb."
Petunia inflata R.E.Fr.,Solanaceae,Petunia,inflata,R.E.Fr.
Phaseolus lunatus L.,Fabaceae,Phaseolus,lunatus,L.
Phaseolus vulgaris L.,Fabaceae,Phaseolus,vulgaris,L.
Philadelphus coronarius L.,Hydrangeaceae,Philadelphus,coronarius,L.
Philenoptera violacea (Klotzsch) Schrire,Fabaceae,Philenoptera,violacea,(Klotzsch) Schrire
Phlox drummondii Hook.,Polemoniaceae,Phlox,drummondii,Hook.
Phoenix canariensis Chabaud,Arecaceae,Phoenix,canariensis,Chabaud
Phoenix dactylifera L.,Arecaceae,Phoenix,dactylifera,L.
Phoenix roebelenii O'Brien,Arecaceae,Phoenix,roebelenii,O'Brien
Phyllanthus acidus (L.) Skeels,Phyllanthaceae,Phyllanthus,acidus,(L.) Skeels
Pilea trianthemoides (Sw.) Lindl.,Urticaceae,Pilea,trianthemoides,(Sw.) Lindl.
Pimenta dioica (L.) Merr.,Myrtaceae,Pimenta,dioica,(L.) Merr.
Pimenta racemosa (Mill.) J.W.Moore,Myrtaceae,Pimenta,racemosa,(Mill.) J.W.Moore
Pinus canariensis C.Sm.,Pinaceae,Pinus,canariensis,C.Sm.
Pinus caribaea Morelet,Pinaceae,Pinus,caribaea,Morelet
Pinus densiflora Siebold & Zucc.,Pinaceae,Pinus,densiflora,Siebold & Zucc.
Pinus elliottii Engelm.,Pinaceae,Pinus,elliottii,Engelm.
Pinus halepensis Mill.,Pinaceae,Pinus,halepensis,Mill.
Pinus hartwegii Lindl.,Pinaceae,Pinus,hartwegii,Lindl.
Pinus merkusii Jungh. & de Vriese,Pinaceae,Pinus,merkusii,Jungh. & de Vriese
Pinus oocarpa Schiede,Pinaceae,Pinus,oocarpa,Schiede
Pinus patula Schiede ex Schltdl. & Cham.,Pinaceae,Pinus,patula,Schiede ex Schltdl. & Cham.
Piper nigrum L.,Piperaceae,Piper,nigrum,L.
Parapiptadenia rigida (Benth.) Brenan,Fabaceae,Parapiptadenia,rigida,(Benth.) Brenan
Pisum sativum L.,Fabaceae,Pisum,sativum,L.
Platanus occidentalis L.,Platanaceae,Platanus,occidentalis,L.
Platanus orientalis L.,Platanaceae,Platanus,orientalis,L.
Platycladus orientalis (L.) Franco,Cupressaceae,Platycladus,orientalis,(L.) Franco
Plumbago auriculata Lam.,Plumbaginaceae,Plumbago,auriculata,Lam.
Plumeria alba L.,Apocynaceae,Plumeria,alba,L.
Plumeria obtusa L.,Apocynaceae,Plumeria,obtusa,L.
Afrocarpus gracilior (Pilg.) C.N.Page,Podocarpaceae,Afrocarpus,gracilior,(Pilg.) C.N.Page
Nageia wallichiana (C.Presl) Kuntze,Podocarpaceae,Nageia,wallichiana,(C.Presl) Kuntze
Podocarpus macrophyllus (Thunb.) Sweet,Podocarpaceae,Podocarpus,macrophyllus,(Thunb.) Sweet
Podocarpus neriifolius D.Don,Podocarpaceae,Podocarpus,neriifolius,D.Don
Polianthes tuberosa L.,Asparagaceae,Polianthes,tuberosa,L.
Persicaria chinensis (L.) H.Gross,Polygonaceae,Persicaria,chinensis,(L.) H.Gross
Polyscias australiana (F.Muell.) Philipson,Araliaceae,Polyscias,australiana,(F.Muell.) Philipson
Polyscias balfouriana (André) L.H.Bailey,Araliaceae,Polyscias,balfouriana,(André) L.H.Bailey
Polyscias filicifolia (C.Moore ex E.Fourn.) L.H.Bailey,Araliaceae,Polyscias,filicifolia,(C.Moore ex E.Fourn.) L.H.Bailey
Polyscias fruticosa (L.) Harms,Araliaceae,Polyscias,fruticosa,(L.) Harms
Polyscias guilfoylei (W.Bull) L.H.Bailey,Araliaceae,Polyscias,guilfoylei,(W.Bull) L.H.Bailey
Polyscias scutellaria (Burm.f.) Fosberg,Araliaceae,Polyscias,scutellaria,(Burm.f.) Fosberg
Pomaderris lanigera Sims,Rhamnaceae,Pomaderris,lanigera,Sims
Populus deltoides Marshall,Salicaceae,Populus,deltoides,Marshall
Porana volubilis Burm.f.,Convolvulaceae,Porana,volubilis,Burm.f.
Portlandia grandiflora L.,Rubiaceae,Portlandia,grandiflora,L.
Portulacaria afra Jacq.,Didiereaceae,Portulacaria,afra,Jacq.
Pouteria campechiana (Kunth) Baehni,Sapotaceae,Pouteria,campechiana,(Kunth) Baehni
Proustia pyrifolia Lag.,Asteraceae,Proustia,pyrifolia,Lag.
Prunus domestica L.,Rosaceae,Prunus,domestica,L.
Prunus persica (L.) Batsch,Rosaceae,Prunus,persica,(L.) Batsch
Prunus salicina Lindl.,Rosaceae,Prunus,salicina,Lindl.
Cerasus yedoensis (Matsum.) A.N.Vassiljeva,Rosaceae,Cerasus,yedoensis,(Matsum.) A.N.Vassiljeva
Pseudobombax ellipticum (Kunth) Dugand,Malvaceae,Pseudobombax,ellipticum,(Kunth) Dugand
Psidium cattleianum Afzel. ex Sabine,Myrtaceae,Psidium,cattleianum,Afzel. ex Sabine
Psidium friedrichsthalianum (O.Berg) Nied.,Myrtaceae,Psidium,friedrichsthalianum,(O.Berg) Nied.
Psidium guineense Sw.,Myrtaceae,Psidium,guineense,Sw.
Psophocarpus tetragonolobus (L.) DC.,Fabaceae,Psophocarpus,tetragonolobus,(L.) DC.
Pterocarpus indicus Willd.,Fabaceae,Pterocarpus,indicus,Willd.
Pterocarpus rotundifolius (Sond.) Druce,Fabaceae,Pterocarpus,rotundifolius,(Sond.) Druce
Pterocarya stenoptera C.DC.,Juglandaceae,Pterocarya,stenoptera,C.DC.
Pterospermum acerifolium (L.) Willd.,Malvaceae,Pterospermum,acerifolium,(L.) Willd.
Pterospermum semisagittatum Blanco,Malvaceae,Pterospermum,semisagittatum,Blanco
Ptychosperma macarthurii (H.Wendl. ex H.J.Veitch) H.Wendl. ex Hook.f.,Arecaceae,Ptychosperma,macarthurii,(H.Wendl. ex H.J.Veitch) H.Wendl. ex Hook.f.
Pyrostegia venusta (Ker Gawl.) Miers,Bignoniaceae,Pyrostegia,venusta,(Ker Gawl.) Miers
Pyrus communis L.,Rosaceae,Pyrus,communis,L.
Pyrus pyrifolia (Burm.f.) Nakai,Rosaceae,Pyrus,pyrifolia,(Burm.f.) Nakai
