Acc_Species_Name,Family,Genus,Species,Authority
Saraca thaipingensis Prain,Fabaceae,Saraca,thaipingensis,Prain
Bignonia magnifica W.Bull,Bignoniaceae,Bignonia,magnifica,W.Bull
Scadoxus multiflorus (Martyn) Raf.,Amaryllidaceae,Scadoxus,multiflorus,(Martyn) Raf.
Schefflera actinophylla (Endl.) Harms,Araliaceae,Schefflera,actinophylla,(Endl.) Harms
Schinus molle L.,Anacardiaceae,Schinus,molle,L.
Schinus terebinthifolia Raddi,Anacardiaceae,Schinus,terebinthifolia,Raddi
Schizolobium parahyba (Vell.) S.F.Blake,Fabaceae,Schizolobium,parahyba,(Vell.) S.F.Blake
Sechium edule (Jacq.) Sw.,Cucurbitaceae,Sechium,edule,(Jacq.) Sw.
Sedum japonicum Siebold ex Miq.,Crassulaceae,Sedum,japonicum,Siebold ex Miq.
Selenicereus grandiflorus (L.) Britton & Rose,Cactaceae,Selenicereus,grandiflorus,(L.) Britton & Rose
Senecio cruentus Roth,Asteraceae,Senecio,cruentus,Roth
Senna alexandrina Mill.,Fabaceae,Senna,alexandrina,Mill.
Senna artemisioides Isely,Fabaceae,Senna,artemisioides,Isely
Senna corymbosa (Lam.) H.S.Irwin & Barneby,Fabaceae,Senna,corymbosa,(Lam.) H.S.Irwin & Barneby
Senna multijuga (Rich.) H.S.Irwin & Barneby,Fabaceae,Senna,multijuga,(Rich.) H.S.Irwin & Barneby
Senna pallida (Vahl) H.S.Irwin & Barneby,Fabaceae,Senna,pallida,(Vahl) H.S.Irwin & Barneby
Senna siamea (Lam.) H.S.Irwin & Barneby,Fabaceae,Senna,siamea,(Lam.) H.S.Irwin & Barneby
Senna splendida (Vogel) H.S.Irwin & Barneby,Fabaceae,Senna,splendida,(Vogel) H.S.Irwin & Barneby
Senna surattensis (Burm.f.) H.S.Irwin & Barneby,Fabaceae,Senna,surattensis,(Burm.f.) H.S.Irwin & Barneby
Senna timoriensis (DC.) H.S.Irwin & Barneby,Fabaceae,Senna,timoriensis,(DC.) H.S.Irwin & Barneby
Serissa japonica (Thunb.) Thunb.,Rubiaceae,Serissa,japonica,(Thunb.) Thunb.
Sesamum indicum L.,Pedaliaceae,Sesamum,indicum,L.
Sesbania grandiflora (L.) Pers.,Fabaceae,Sesbania,grandiflora,(L.) Pers.
Setaria italica (L.) P.Beauv.,Poaceae,Setaria,italica,(L.) P.Beauv.
Tradescantia pallida (Rose) D.R.Hunt,Commelinaceae,Tradescantia,pallida,(Rose) D.R.Hunt
Simarouba amara Aubl.,Simaroubaceae,Simarouba,amara,Aubl.
Sinapis alba L.,Brassicaceae,Sinapis,alba,L.
Solanum betaceum Cav.,Solanaceae,Solanum,betaceum,Cav.
Solanum grandiflorum Ruiz & Pav.,Solanaceae,Solanum,grandiflorum,Ruiz & Pav.
Solanum melongena L.,Solanaceae,Solanum,melongena,L.
Solanum wendlandii Hook.f.,Solanaceae,Solanum,wendlandii,Hook.f.
Solanum wrightii Benth.,Solanaceae,Solanum,wrightii,Benth.
Spartium junceum L.,Fabaceae,Spartium,junceum,L.
Spathodea campanulata P.Beauv.,Bignoniaceae,Spathodea,campanulata,P.Beauv.
Spinacia oleracea L.,Amaranthaceae,Spinacia,oleracea,L.
Spiraea prunifolia Siebold & Zucc.,Rosaceae,Spiraea,prunifolia,Siebold & Zucc.
Spondias dulcis Parkinson,Anacardiaceae,Spondias,dulcis,Parkinson
Sterculia apetala (Jacq.) H.Karst.,Malvaceae,Sterculia,apetala,(Jacq.) H.Karst.
Brachychiton rupestris (T.Mitch. ex Lindl.) K.Schum.,Malvaceae,Brachychiton,rupestris,(T.Mitch. ex Lindl.) K.Schum.
Strophanthus hispidus DC.,Apocynaceae,Strophanthus,hispidus,DC.
Swainsona formosa (G.Don) J.Thompson,Fabaceae,Swainsona,formosa,(G.Don) J.Thompson
Swietenia macrophylla King,Meliaceae,Swietenia,macrophylla,King
Syncarpia glomulifera (Sm.) Nied.,Myrtaceae,Syncarpia,glomulifera,(Sm.) Nied.
Syzygium aqueum (Burm.f.) Alston,Myrtaceae,Syzygium,aqueum,(Burm.f.) Alston
Syzygium aromaticum (L.) Merr. & L.M.Perry,Myrtaceae,Syzygium,aromaticum,(L.) Merr. & L.M.Perry
Syzygium malaccense (L.) Merr. & L.M.Perry,Myrtaceae,Syzygium,malaccense,(L.) Merr. & L.M.Perry
Syzygium samarangense (Blume) Merr. & L.M.Perry,Myrtaceae,Syzygium,samarangense,(Blume) Merr. & L.M.Perry
Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore,Bignoniaceae,Tabebuia,aurea,(Silva Manso) Benth. & Hook.f. ex S.Moore
Handroanthus chrysanthus (Jacq.) S.O.Grose,Bignoniaceae,Handroanthus,chrysanthus,(Jacq.) S.O.Grose
Tabebuia pallida (Lindl.) Miers,Bignoniaceae,Tabebuia,pallida,(Lindl.) Miers
Tabebuia heterophylla (DC.) Britton,Bignoniaceae,Tabebuia,heterophylla,(DC.) Britton
Tabebuia rosea (Bertol.) Bertero ex A.DC.,Bignoniaceae,Tabebuia,rosea,(Bertol.) Bertero ex A.DC.
Tabernaemontana africana Hook.,Apocynaceae,Tabernaemontana,africana,Hook.
Magnolia angatensis Blanco,Magnoliaceae,Magnolia,angatensis,Blanco
Talinum calycinum Engelm.,Talinaceae,Talinum,calycinum,Engelm.
Talipariti tiliaceum (L.) Fryxell,Malvaceae,Talipariti,tiliaceum,(L.) Fryxell
Taxodium distichum (L.) Rich.,Cupressaceae,Taxodium,distichum,(L.) Rich.
Taxodium huegelii C.Lawson,Cupressaceae,Taxodium,huegelii,C.Lawson
Tecoma castanifolia (D.Don) Melch.,Bignoniaceae,Tecoma,castanifolia,(D.Don) Melch.
Tephrosia vogelii Hook.f.,Fabaceae,Tephrosia,vogelii,Hook.f.
Terminalia calamansanay Rolfe,Combretaceae,Terminalia,calamansanay,Rolfe
Terminalia catappa L.,Combretaceae,Terminalia,catappa,L.
Terminalia oliveri Brandis,Combretaceae,Terminalia,oliveri,Brandis
Terminalia sericea Burch. ex DC.,Combretaceae,Terminalia,sericea,Burch. ex DC.
Tetraclinis articulata (Vahl) Mast.,Cupressaceae,Tetraclinis,articulata,(Vahl) Mast.
Tetrapanax papyrifer (Hook.) K.Koch,Araliaceae,Tetrapanax,papyrifer,(Hook.) K.Koch
Theobroma cacao L.,Malvaceae,Theobroma,cacao,L.
Cascabela thevetia (L.) Lippold,Apocynaceae,Cascabela,thevetia,(L.) Lippold
Thuja occidentalis L.,Cupressaceae,Thuja,occidentalis,L.
Thyrsostachys oliveri Gamble,Poaceae,Thyrsostachys,oliveri,Gamble
Thyrsostachys siamensis Gamble,Poaceae,Thyrsostachys,siamensis,Gamble
Tibouchina semidecandra (Mart. & Schrank ex DC.) Cogn.,Melastomataceae,Tibouchina,semidecandra,(Mart. & Schrank ex DC.) Cogn.
Tipuana tipu (Benth.) Kuntze,Fabaceae,Tipuana,tipu,(Benth.) Kuntze
Trachelospermum jasminoides (Lindl.) Lem.,Apocynaceae,Trachelospermum,jasminoides,(Lindl.) Lem.
Trachycarpus fortunei (Hook.) H.Wendl.,Arecaceae,Trachycarpus,fortunei,(Hook.) H.Wendl.
Trachyspermum ammi (L.) Sprague,Apiaceae,Trachyspermum,ammi,(L.) Sprague
Tradescantia spathacea Sw.,Commelinaceae,Tradescantia,spathacea,Sw.
Trigonella foenum-graecum L.,Fabaceae,Trigonella,foenum-graecum,L.
Triphasia trifolia (Burm.f.) P.Wilson,Rutaceae,Triphasia,trifolia,(Burm.f.) P.Wilson
Tristellateia australasiae A.Rich.,Malpighiaceae,Tristellateia,australasiae,A.Rich.
Tropaeolum majus L.,Tropaeolaceae,Tropaeolum,majus,L.
Arctotis fastuosa Jacq.,Asteraceae,Arctotis,fastuosa,Jacq.
Verbena bipinnatifida Nutt.,Verbenaceae,Verbena,bipinnatifida,Nutt.
Glandularia peruviana (L.) Small,Verbenaceae,Glandularia,peruviana,(L.) Small
Vernicia cordata (Thunb.) Airy Shaw,Euphorbiaceae,Vernicia,cordata,(Thunb.) Airy Shaw
Vicia faba L.,Fabaceae,Vicia,faba,L.
Victoria amazonica (Poepp.) J.C.Sowerby,Nymphaeaceae,Victoria,amazonica,(Poepp.) J.C.Sowerby
Victoria cruziana A.D.Orb.,Nymphaeaceae,Victoria,cruziana,A.D.Orb.
Vigna unguiculata (L.) Walp.,Fabaceae,Vigna,unguiculata,(L.) Walp.
Vitis heyneana Roem. & Schult.,Vitaceae,Vitis,heyneana,Roem. & Schult.
Vittadinia triloba (Gaudich.) DC.,Asteraceae,Vittadinia,triloba,(Gaudich.) DC.
Voacanga grandifolia (Miq.) Rolfe,Apocynaceae,Voacanga,grandifolia,(Miq.) Rolfe
Washingtonia filifera (Linden ex André) H.Wendl. ex de Bary,Arecaceae,Washingtonia,filifera,(Linden ex André) H.Wendl. ex de Bary
Wrightia antidysenterica (L.) R.Br.,Apocynaceae,Wrightia,antidysenterica,(L.) R.Br.
Caladium lindenii (André) Madison,Araceae,Caladium,lindenii,(André) Madison
Yucca gloriosa L.,Asparagaceae,Yucca,gloriosa,L.
Zea mays L.,Poaceae,Zea,mays,L.
"Habranthus longifolius (Hemsl.) Flagg, G.Lom.Sm. & Meerow",Amaryllidaceae,Habranthus,longifolius,"(Hemsl.) Flagg, G.Lom.Sm. & Meerow"
Zephyranthes candida (Lindl.) Herb.,Amaryllidaceae,Zephyranthes,candida,(Lindl.) Herb.
Zephyranthes citrina Baker,Amaryllidaceae,Zephyranthes,citrina,Baker
Zephyranthes minuta (Kunth) D.Dietr.,Amaryllidaceae,Zephyranthes,minuta,(Kunth) D.Dietr.
Ziziphus joazeiro Mart.,Rhamnaceae,Ziziphus,joazeiro,Mart.
