Acc_Species_Name,Wet.Evergreen.forest,Semi.Evergreen.forest,Moist.Deciduous.forest,Dry.Deciduous.forest,Mangrove.forest,Dry.Evegreen.forest,Thorn.forest,Sub.tropical.broad.leaved.forest,Subtropical.Pine.forest,Subtropical.Dry.Evergreen.forest,Montane.Wet.Temperate.forest,Montane.Moist.Temperate.forest,Montane.Dry.Temperate.forest,Sub.Alpine.forest,Sub.Alpine.forest.1,Sub.Alpine.forest.2,Tropical.Dry.Scrub,Tropical.Moist.Scrub,Subtropical.Scrub,Temperate.Scrub,Moist.Alpine.Scrub,Dry.Alpine.Scrub,Mangrove.Scrub,Unclassified,Plantations,Scrub,Grasslands,Orchards,Water,Settlements,Barren.snow.rann,Agriculture,Tree.Savannah,Shrub.Savannah,Source
Achimenes longiflora DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achyranthes aspera L.,1,1,1,1,,,,1,,,,,,,,,1,,,,,,,,1,,1,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acmella ciliata (Kunth) Cass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acmella radicans (Jacq.) R.K.Jansen,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acmella uliginosa (Sw.) Cass.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Adenophyllum cooperi (A.Gray) Strother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenostemma lavenia (L.) Kuntze,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Adonidia merrillii (Becc.) Becc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Aechmea nudicaulis (L.) Griseb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Aeluropus lagopoides (L.) Thwaites,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Aeonium arboreum Webb & Berthel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerva javanica (Burm.f.) Juss. ex Schult.,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Aeschynomene americana L.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Aeschynomene brasiliana (Poir.) DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeschynomene indica L.,,1,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Agapanthus africanus (L.) Hoffmanns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Agapanthus praecox Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave americana L.,,1,1,1,,,1,,,,,,,,,,1,1,,,,,,,,,1,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Agave cantala (Haw.) Roxb. ex Salm-Dyck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave salmiana Otto ex Salm-Dyck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave vera-cruz Mill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave vivipara L.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,,1,1,,,,,1,1,,,1,,,,,,1,,,,,,,,1,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ageratina ligustrina (DC.) R.M.King & H.Rob.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageratina riparia (Regel) R.M.King & H.Rob.,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ageratum conyzoides (L.) L.,1,1,1,1,,,,,,,,,,,,,1,1,,,,,,,1,,1,1,1,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ageratum houstonianum Mill.,1,1,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Agonis flexuosa (Muhl. ex Willd.) Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostemma githago L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis idahoensis Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aidia cochinchinensis Lour.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Aiphanes horrida (Jacq.) Burret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albizia lebbeck (L.) Benth.,,1,1,1,,,,,,,,,,,,,1,1,,,,,,,1,,1,,1,,1,1,1,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Albizia niopoides (Benth.) Burkart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcea rosea L.,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Aleurites rockinghamensis (Baill.) P.I.Forst.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisma gramineum Lej.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisma lanceolatum With.,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Allamanda cathartica L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliaria petiolata (M.Bieb.) Cavara & Grande,,,1,,,,,,1,,,1,1,,,,,,,,,1,,,,,1,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Allium ampeloprasum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Allocasuarina acuaria (F.Muell.) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocasuarina littoralis (Salisb.) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocasuarina torulosa (Aiton) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocasuarina verticillata (Lam.) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus glutinosa (L.) Gaertn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Aloe vera (L.) Burm.f.,1,1,1,1,1,1,,,,,,,,,,,1,1,,,,,,,1,,1,1,1,1,1,1,1,1,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alopecurus aequalis Sobol.,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alopecurus arundinaceus Poir.,,,,,,,,,1,,,1,1,,,,,,,,,,,,1,,1,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
