Acc_Species_Name,Wet.Evergreen.forest,Semi.Evergreen.forest,Moist.Deciduous.forest,Dry.Deciduous.forest,Mangrove.forest,Dry.Evegreen.forest,Thorn.forest,Sub.tropical.broad.leaved.forest,Subtropical.Pine.forest,Subtropical.Dry.Evergreen.forest,Montane.Wet.Temperate.forest,Montane.Moist.Temperate.forest,Montane.Dry.Temperate.forest,Sub.Alpine.forest,Sub.Alpine.forest.1,Sub.Alpine.forest.2,Tropical.Dry.Scrub,Tropical.Moist.Scrub,Subtropical.Scrub,Temperate.Scrub,Moist.Alpine.Scrub,Dry.Alpine.Scrub,Mangrove.Scrub,Unclassified,Plantations,Scrub,Grasslands,Orchards,Water,Settlements,Barren.snow.rann,Agriculture,Tree.Savannah,Shrub.Savannah,Source
Clethra arborea Aiton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clianthus puniceus (G.Don) Lindl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clidemia hirta (L.) D.Don,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Clinanthus coccineus (Ruiz & Pav.) Meerow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinopodium vulgare L.,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Clitoria ternatea L.,1,1,1,1,,1,1,,,,,,,,,,1,,,,,,,,1,,1,1,1,1,1,1,1,1,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cobaea scandens Cav.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coccothrinax barbadensis (Lodd. ex Mart.) Becc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos nucifera L.,1,1,1,1,,1,1,,,,1,,,,,,1,,,,,,,,1,,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Coix lacryma-jobi L.,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Coldenia procumbens L.,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Colea colei (Bojer ex Hook.) M.L.Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colletia spinosissima J.F.Gmel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colocasia esculenta (L.) Schott,1,1,1,1,,1,,1,1,,,,,,,,1,1,,,,,,,1,1,1,1,1,1,1,1,1,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Combretum indicum (L.) DeFilipps,1,,1,,,1,,,,,,,,,,,1,,,,,,,,1,,,1,1,1,1,1,1,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Commelina virginica L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commiphora gileadensis (L.) C.Chr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congea velutina Wight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consolida regalis Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convolvulus arvensis L.,,,1,1,,,,,,,,,1,,,,1,,,,,,,,,,1,,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Conyza sumatrensis (S.F.Blake) Pruski & G.Sancho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corchorus aestuans L.,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Corchorus capsularis L.,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Corchorus fascicularis Lam.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Corchorus olitorius L.,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Corchorus tridens L.,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Corchorus trilocularis L.,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cordia cylindrostachya (Ruiz & Pav.) Roem. & Schult.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordyline australis Hook.f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordyline fruticosa (L.) A.Chev.,1,1,1,1,1,1,1,,,,,,,,,,1,1,,,,,1,,1,,1,1,1,1,1,1,1,1,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cordyline pumilio Hook.f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis grandiflora Hogg ex Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coriandrum sativum L.,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Corymbia maculata (Hook.) K.D.Hill & L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos bipinnatus Cav.,1,,1,1,,,,1,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cosmos sulphureus Cav.,1,1,1,1,,,,,,,,1,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Costus erythrophyllus Loes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costus malortieanus H.Wendl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotoneaster transens G.Klotz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotula australis (Sieber ex Spreng.) Hook.f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Crassocephalum crepidioides (Benth.) S.Moore,1,1,1,,,,,,,,,1,,,,,,,,,,,,,1,,1,1,1,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Crassocephalum vitellinum (Benth.) S.Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Crassula coccinea L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crassula multicava Lem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crataegus monogyna Jacq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craterostigma plantagineum Hochst.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crepis sancta (L.) Bornm.,,,1,1,,,,,1,,,1,,,,,,,1,,,1,,,,1,1,1,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Crescentia alata Kunth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Crinum moorei Hook.f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocosmia pottsii (Baker) N.E.Br.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossostephium artemisioides Less.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalaria goreensis Guill. & Perr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Crotalaria incana L.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Crotalaria juncea L.,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Crotalaria medicaginea Lam.,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Crotalaria micans Link,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Crotalaria pallida Aiton,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Croton bonplandianus Baill.,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Croton hirtus L'Hér.,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cryosophila nana (Kunth) Blume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptanthus zonatus (Vis.) Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptostegia grandiflora Roxb. ex R.Br.,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cryptostegia madagascariensis Bojer ex Decne.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuphea bustamanta Lex.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuphea hyssopifolia Kunth,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cuphea ignea A.DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuphea lanceolata W.T.Aiton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuphea llavea Lex.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuphea melvilla Lindl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuphea micropetala Kunth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupressus arizonica Greene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupressus goveniana Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curcuma zanthorrhiza Roxb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cuscuta campestris Yunck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cuscuta chinensis Lam.,,,,1,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cuscuta pentagona Engelm.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cuscuta planiflora Ten.,,,,,,,,,1,,,1,,,,,,,1,,,1,,,,1,1,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyanus segetum Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycas revoluta Thunb.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyclanthus bipartitus Poit. ex A.Rich.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclospermum leptophyllum (Pers.) Sprague,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cylindropuntia ramosissima (Engelm.) F.M.Knuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cymbopogon citratus (DC.) Stapf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cymbopogon winterianus Jowitt ex Bor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cynara cardunculus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cynodon dactylon (L.) Pers.,,1,1,1,,1,,,1,,,1,,,,,1,1,,,,,,,,1,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cynodon plectostachyus (K.Schum.) Pilg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynometra cauliflora L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus alopecuroides Rottb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus alternifolius L.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyperus arenarius Retz.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyperus cruentus Rottb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus difformis L.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyperus dubius Rottb.,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyperus esculentus L.,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyperus fuscus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyperus glomeratus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus hamulosus M.Bieb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyperus involucratus Rottb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus iria L.,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyperus longus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus michelianus (L.) Delile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyperus papyrus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus prolifer Lam.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus rotundus L.,,1,1,1,,,,,,,1,,,,,,1,1,,,,,,,1,,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Cyperus sphacelatus Rottb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus surinamensis Rottb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyrtostachys renda Blume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytisus hirsutus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytisus multiflorus (L'Her.) Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytisus proliferus L.f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytisus scoparius (L.) Link,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Daboecia cantabrica (Huds.) K.Koch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactyliandra welwitschii Hook.f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylis glomerata L.,,,1,1,,,,,1,,,1,1,,,,1,1,,,,1,,,1,1,1,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dactyloctenium aegyptium (L.) Willd.,1,1,1,1,,1,,,,,,1,,,,,1,,,,,,,,,,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dactyloctenium australe Steud.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactyloctenium scindicum Boiss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dahlia coccinea Cav.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dahlia imperialis Roezl ex Ortgies,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dahlia pinnata Cav.,,1,1,1,,,,,,,,1,,,,,1,,,,,,,,,,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dalbergia melanoxylon Guill. & Perr.,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dalechampia tamifolia Lam.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daphnopsis anomala (Kunth) Domke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datura ferox L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Datura inoxia Mill.,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Datura metel L.,1,1,1,1,,,,,1,,,,,,,,1,1,,,,,,,1,,,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Datura quercifolia Kunth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datura stramonium L.,1,1,1,1,,1,,,1,,,1,1,,,,1,1,,,,1,,,,1,1,,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Daucus carota L.,,,1,1,,,,,1,,,,1,,,,1,,,,,,,,,,1,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Deeringia amaranthoides (Lam.) Merr.,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Delairea odorata Lem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delonix regia (Hook.) Raf.,1,1,1,1,,1,1,,,,,1,,,,,1,,,,,,,,1,,,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Delphinium elatum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrocalamus giganteus Munro,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dendrocalamus strictus (Roxb.) Nees,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,1,1,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dentella repens (L.) J.R.Forst. & G.Forst.,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Desmanthus virgatus (L.) Willd.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Desmodium microphyllum (Thunb.) DC.,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Desmodium neomexicanum A.Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmodium scorpiurus (Sw.) Desv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmodium tortuosum (Sw.) DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Desmodium triflorum (L.) DC.,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,1,1,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Desmodium uncinatum (Jacq.) DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dianella tasmanica Hook.f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dianthus barbatus L.,,,1,,,,,1,1,,,1,1,,,,1,1,1,,,1,,,,,1,,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dianthus caryophyllus L.,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dianthus chinensis L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicliptera heterostegia Nees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicliptera paniculata (Forssk.) I.Darbysh.,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dicoma incana (Baker) O.Hoffm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicoma tomentosa Cass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Dictyosperma album (Bory) Scheff.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
