Acc_Species_Name,TDWG_Level2,TDWG_Level2_Names,Source
Alnus glutinosa (L.) Gaertn.,34,Western Asia,GRIN
Alnus glutinosa (L.) Gaertn.,33,Caucasus,GRIN
Alnus glutinosa (L.) Gaertn.,30,Siberia,GRIN
Alnus glutinosa (L.) Gaertn.,32,Middle Asia,GRIN
Alnus glutinosa (L.) Gaertn.,10,Northern Europe,GRIN
Alnus glutinosa (L.) Gaertn.,11,Middle Europe,GRIN
Alnus glutinosa (L.) Gaertn.,12,Southwestern Europe,GRIN
Alnus glutinosa (L.) Gaertn.,13,Southeastern Europe,GRIN
Alnus glutinosa (L.) Gaertn.,14,Eastern Europe,GRIN
Aloe vera (L.) Burm.f.,21,Macaronesia,GRIN
Alopecurus aequalis Sobol.,20,Northern Africa,GRIN
Alopecurus aequalis Sobol.,34,Western Asia,GRIN
Alopecurus aequalis Sobol.,33,Caucasus,GRIN
Alopecurus aequalis Sobol.,30,Siberia,GRIN
Alopecurus aequalis Sobol.,32,Middle Asia,GRIN
Alopecurus aequalis Sobol.,37,Mongolia,GRIN
Alopecurus aequalis Sobol.,31,Russian Far East ,GRIN
Alopecurus aequalis Sobol.,36,China,GRIN
Alopecurus aequalis Sobol.,38,Eastern Asia,GRIN
Alopecurus aequalis Sobol.,40,Indian Subcontinent,GRIN
Alopecurus aequalis Sobol.,10,Northern Europe,GRIN
Alopecurus aequalis Sobol.,11,Middle Europe,GRIN
Alopecurus aequalis Sobol.,12,Southwestern Europe,GRIN
Alopecurus aequalis Sobol.,13,Southeastern Europe,GRIN
Alopecurus aequalis Sobol.,14,Eastern Europe,GRIN
Alopecurus aequalis Sobol.,70,Subarctic America,GRIN
Alopecurus aequalis Sobol.,72,Eastern Canada,GRIN
Alopecurus aequalis Sobol.,71,Western Canada,GRIN
Alopecurus aequalis Sobol.,75,Northeastern U.S.A.,GRIN
Alopecurus aequalis Sobol.,74,North-Central U.S.A.,GRIN
Alopecurus aequalis Sobol.,76,Southwestern U.S.A.,GRIN
Alopecurus aequalis Sobol.,73,Northwestern U.S.A.,GRIN
Alopecurus arundinaceus Poir.,20,Northern Africa,GRIN
Alopecurus arundinaceus Poir.,34,Western Asia,GRIN
Alopecurus arundinaceus Poir.,33,Caucasus,GRIN
Alopecurus arundinaceus Poir.,30,Siberia,GRIN
Alopecurus arundinaceus Poir.,32,Middle Asia,GRIN
Alopecurus arundinaceus Poir.,37,Mongolia,GRIN
Alopecurus arundinaceus Poir.,36,China,GRIN
Alopecurus arundinaceus Poir.,40,Indian Subcontinent,GRIN
Alopecurus arundinaceus Poir.,10,Northern Europe,GRIN
Alopecurus arundinaceus Poir.,11,Middle Europe,GRIN
Alopecurus arundinaceus Poir.,12,Southwestern Europe,GRIN
Alopecurus arundinaceus Poir.,13,Southeastern Europe,GRIN
Alopecurus arundinaceus Poir.,14,Eastern Europe,GRIN
Aloysia citriodora Palau,83,Western South America,GRIN
Aloysia citriodora Palau,85,Southern South America,GRIN
Alphitonia excelsa (Fenzl) Reissek ex Benth.,42,Malesia,GRIN
Alphitonia excelsa (Fenzl) Reissek ex Benth.,43,Papuasia,GRIN
Alphitonia excelsa (Fenzl) Reissek ex Benth.,50,Australia,GRIN
Alpinia purpurata (Vieill.) K.Schum.,43,Papuasia,GRIN
Alpinia purpurata (Vieill.) K.Schum.,60,Southwestern Pacific,GRIN
Alstroemeria aurea Graham,85,Southern South America,GRIN
Alternanthera brasiliana (L.) Kuntze,79,Mexico,GRIN
Alternanthera brasiliana (L.) Kuntze,80,Central America,GRIN
Alternanthera brasiliana (L.) Kuntze,81,Caribbean,GRIN
Alternanthera brasiliana (L.) Kuntze,82,Northern South America,GRIN
Alternanthera brasiliana (L.) Kuntze,83,Western South America,GRIN
Alternanthera brasiliana (L.) Kuntze,84,Brazil,GRIN
Alternanthera caracasana Kunth,79,Mexico,GRIN
Alternanthera caracasana Kunth,81,Caribbean,GRIN
Alternanthera caracasana Kunth,80,Central America,GRIN
Alternanthera caracasana Kunth,82,Northern South America,GRIN
Alternanthera caracasana Kunth,83,Western South America,GRIN
Alternanthera caracasana Kunth,85,Southern South America,GRIN
Alternanthera ficoidea (L.) Sm.,80,Central America,GRIN
Alternanthera ficoidea (L.) Sm.,81,Caribbean,GRIN
Alternanthera ficoidea (L.) Sm.,82,Northern South America,GRIN
Alternanthera ficoidea (L.) Sm.,83,Western South America,GRIN
Alternanthera ficoidea (L.) Sm.,84,Brazil,GRIN
Alternanthera ficoidea (L.) Sm.,85,Southern South America,GRIN
Alternanthera littoralis P.Beauv.,81,Caribbean,GRIN
Alternanthera littoralis P.Beauv.,80,Central America,GRIN
Alternanthera littoralis P.Beauv.,82,Northern South America,GRIN
Alternanthera littoralis P.Beauv.,84,Brazil,GRIN
Alternanthera littoralis P.Beauv.,83,Western South America,GRIN
Alternanthera littoralis P.Beauv.,85,Southern South America,GRIN
Alternanthera paronychioides A.St.-Hil.,81,Caribbean,GRIN
Alternanthera paronychioides A.St.-Hil.,80,Central America,GRIN
Alternanthera paronychioides A.St.-Hil.,82,Northern South America,GRIN
Alternanthera paronychioides A.St.-Hil.,84,Brazil,GRIN
Alternanthera paronychioides A.St.-Hil.,83,Western South America,GRIN
Alternanthera paronychioides A.St.-Hil.,85,Southern South America,GRIN
Alternanthera philoxeroides (Mart.) Griseb.,82,Northern South America,GRIN
Alternanthera philoxeroides (Mart.) Griseb.,84,Brazil,GRIN
Alternanthera philoxeroides (Mart.) Griseb.,83,Western South America,GRIN
Alternanthera philoxeroides (Mart.) Griseb.,85,Southern South America,GRIN
Alternanthera pungens Kunth,82,Northern South America,GRIN
Alternanthera pungens Kunth,84,Brazil,GRIN
Alternanthera pungens Kunth,83,Western South America,GRIN
Alternanthera sessilis (L.) R.Br. ex DC.,36,China,GRIN
Alternanthera sessilis (L.) R.Br. ex DC.,38,Eastern Asia,GRIN
Alternanthera sessilis (L.) R.Br. ex DC.,40,Indian Subcontinent,GRIN
Alternanthera sessilis (L.) R.Br. ex DC.,41,Indo-China,GRIN
Alternanthera sessilis (L.) R.Br. ex DC.,42,Malesia,GRIN
Althaea officinalis L.,20,Northern Africa,GRIN
Althaea officinalis L.,34,Western Asia,GRIN
Althaea officinalis L.,33,Caucasus,GRIN
Althaea officinalis L.,30,Siberia,GRIN
Althaea officinalis L.,32,Middle Asia,GRIN
Althaea officinalis L.,36,China,GRIN
Althaea officinalis L.,40,Indian Subcontinent,GRIN
Althaea officinalis L.,10,Northern Europe,GRIN
Althaea officinalis L.,11,Middle Europe,GRIN
Althaea officinalis L.,12,Southwestern Europe,GRIN
Althaea officinalis L.,13,Southeastern Europe,GRIN
Althaea officinalis L.,14,Eastern Europe,GRIN
Alysicarpus vaginalis (L.) DC.,24,Northeast Tropical Africa,GRIN
Alysicarpus vaginalis (L.) DC.,25,East Tropical Africa,GRIN
Alysicarpus vaginalis (L.) DC.,23,West-Central Tropical Africa,GRIN
Alysicarpus vaginalis (L.) DC.,22,West Tropical Africa,GRIN
Alysicarpus vaginalis (L.) DC.,26,South Tropical Africa,GRIN
Alysicarpus vaginalis (L.) DC.,27,Southern Africa,GRIN
Alysicarpus vaginalis (L.) DC.,29,Western Indian Ocean,GRIN
Alysicarpus vaginalis (L.) DC.,35,Arabian Peninsula,GRIN
Alysicarpus vaginalis (L.) DC.,38,Eastern Asia,GRIN
Alysicarpus vaginalis (L.) DC.,40,Indian Subcontinent,GRIN
Alysicarpus vaginalis (L.) DC.,43,Papuasia,GRIN
Alysicarpus vaginalis (L.) DC.,41,Indo-China,GRIN
Alysicarpus vaginalis (L.) DC.,42,Malesia,GRIN
Amaranthus blitum L.,20,Northern Africa,GRIN
Amaranthus blitum L.,25,East Tropical Africa,GRIN
Amaranthus blitum L.,26,South Tropical Africa,GRIN
Amaranthus blitum L.,34,Western Asia,GRIN
Amaranthus blitum L.,32,Middle Asia,GRIN
Amaranthus blitum L.,36,China,GRIN
Amaranthus blitum L.,38,Eastern Asia,GRIN
Amaranthus blitum L.,40,Indian Subcontinent,GRIN
Amaranthus blitum L.,41,Indo-China,GRIN
Amaranthus blitum L.,42,Malesia,GRIN
Amaranthus blitum L.,11,Middle Europe,GRIN
Amaranthus blitum L.,12,Southwestern Europe,GRIN
Amaranthus blitum L.,13,Southeastern Europe,GRIN
Amaranthus hybridus L.,71,Western Canada,GRIN
Amaranthus hybridus L.,72,Eastern Canada,GRIN
Amaranthus hybridus L.,73,Northwestern U.S.A.,GRIN
Amaranthus hybridus L.,74,North-Central U.S.A.,GRIN
Amaranthus hybridus L.,75,Northeastern U.S.A.,GRIN
Amaranthus hybridus L.,76,Southwestern U.S.A.,GRIN
Amaranthus hybridus L.,77,South-Central U.S.A.,GRIN
Amaranthus hybridus L.,78,Southeastern U.S.A.,GRIN
Amaranthus hybridus L.,79,Mexico,GRIN
Amaranthus palmeri S.Watson,74,North-Central U.S.A.,GRIN
Amaranthus palmeri S.Watson,77,South-Central U.S.A.,GRIN
Amaranthus palmeri S.Watson,76,Southwestern U.S.A.,GRIN
Amaranthus palmeri S.Watson,79,Mexico,GRIN
Amaranthus polygonoides L.,78,Southeastern U.S.A.,GRIN
Amaranthus polygonoides L.,77,South-Central U.S.A.,GRIN
Amaranthus polygonoides L.,79,Mexico,GRIN
Amaranthus polygonoides L.,80,Central America,GRIN
Amaranthus polygonoides L.,81,Caribbean,GRIN
Amaranthus retroflexus L.,71,Western Canada,GRIN
Amaranthus retroflexus L.,72,Eastern Canada,GRIN
Amaranthus retroflexus L.,75,Northeastern U.S.A.,GRIN
Amaranthus retroflexus L.,74,North-Central U.S.A.,GRIN
Amaranthus retroflexus L.,73,Northwestern U.S.A.,GRIN
Amaranthus retroflexus L.,78,Southeastern U.S.A.,GRIN
Amaranthus retroflexus L.,77,South-Central U.S.A.,GRIN
Amaranthus retroflexus L.,79,Mexico,GRIN
Amaryllis belladonna L.,27,Southern Africa,GRIN
Ambrosia artemisiifolia L.,71,Western Canada,GRIN
Ambrosia artemisiifolia L.,72,Eastern Canada,GRIN
Ambrosia artemisiifolia L.,75,Northeastern U.S.A.,GRIN
Ambrosia artemisiifolia L.,74,North-Central U.S.A.,GRIN
Ambrosia artemisiifolia L.,73,Northwestern U.S.A.,GRIN
Ambrosia artemisiifolia L.,78,Southeastern U.S.A.,GRIN
Ambrosia artemisiifolia L.,77,South-Central U.S.A.,GRIN
Ambrosia artemisiifolia L.,81,Caribbean,GRIN
Ambrosia artemisiifolia L.,84,Brazil,GRIN
