Acc_Species_Name,NL.Plant,NL.Plant.Price(Rs),NL.Plants.Booked,NL.Seed,NL.Seed.Price(Rs),NL.Seed.Weight(kg),NL.Seed.Numbers,NL.Seed.Booked,PL.Plant.Price(Rs),Source
Alternanthera spinosa (Hornem.) Schult.,,,,,,,,,,
Althaea ludwigii L.,,,,,,,,,,
Althaea officinalis L.,1,,196,,,,,,,NL
Alysicarpus vaginalis (L.) DC.,,,,,,,,,,
Amaranthus blitum L.,,,,,,,,,,
Amaranthus caudatus L.,1,,255,,,,,,399,NL;PL
Amaranthus cruentus L.,,,,,,,,,,
Amaranthus hybridus L.,,,,,,,,,,
Amaranthus palmeri S.Watson,,,,,,,,,,
Amaranthus polygonoides L.,,,,,,,,,,
Amaranthus retroflexus L.,,,,,,,,,,
Amaranthus spinosus L.,,,,,,,,,249,PL
Amaranthus tricolor L.,,,,,,,,,,
Amaranthus viridis L.,,,,,,,,,,
Amaryllis belladonna L.,,,,1,69,,4,125,449,NL;PL
Ambrosia artemisiifolia L.,,,,,,,,,,
Ambrosia polystachya DC.,,,,,,,,,,
Amphilophium buccinatorium (DC.) L.G.Lohmann,,,,,,,,,,
Anacardium occidentale L.,,,,,,,,,415,PL
Anacyclus australis Sieber,,,,,,,,,,
Anagallis arvensis L.,,,,,,,,,,
Andropogon hallii Hack.,,,,,,,,,,
Anemone hupehensis (É.Lemoine) É.Lemoine,,,,,,,,,,
Anethum graveolens L.,,,,,,,,,899,PL
Angelonia biflora Benth.,,,,,,,,,,
Angelonia gardneri Hook.,,,,,,,,,,
Angophora floribunda (Sm.) Sweet,,,,,,,,,,
Angophora subvelutina F.Muell.,,,,,,,,,,
Anigozanthos flavidus DC.,,,,,,,,,,
Annona glabra L.,,,,,,,,,,
Anoda cristata (L.) Schltdl.,,,,,,,,,,
Anredera baselloides (Kunth) Baill.,,,,,,,,,,
Anredera cordifolia (Ten.) Steenis,,,,,,,,,,
Anthemis cotula L.,,,,,,,,,,
Anthoxanthum odoratum L.,,,,,,,,,,
Anthurium andraeanum Linden ex André,,,,,,,,,,
Anthurium spathiphyllum N.E.Br.,,,,,,,,,,
Antigonon leptopus Hook. & Arn.,,,,,,,,,399,PL
Antirrhinum majus L.,,,,,,,,,,
Aphelandra arborea (Mill.) M.R.Almeida,,,,,,,,,,
Aphelandra aurantiaca (Scheidw.) Lindl.,,,,,,,,,,
Aphelandra scabra (Vahl) Sm.,,,,,,,,,,
Aphloia theiformis (Vahl) Benn.,,,,,,,,,,
Apium graveolens L.,1,,11,,,,,,,NL
Aponogeton abyssinicus Hochst. ex A.Rich.,,,,,,,,,,
Aponogeton distachyos L.f.,,,,,,,,,,
Aquilegia vulgaris L.,,,,,,,,,,
Arachis glabrata Benth.,,,,,,,,,799,PL
Arachis pintoi Krapov. & W.C.Greg.,,,,,,,,,399,PL
Araucaria heterophylla (Salisb.) Franco,,,,,,,,,399,PL
Arceuthobium minutissimum Hook.f.,,,,,,,,,,
Arceuthobium oxycedri (DC.) M.Bieb.,,,,,,,,,,
Archontophoenix cunninghamiana (H.Wendl.) H.Wendl. & Drude,,,,,,,,,,
Arctium lappa L.,,,,,,,,,,
Ardisia crenata Sims,1,,15,,,,,,499,NL;PL
Areca catechu L.,,,,1,141,0.5,,19,399,NL;PL
Arenaria serpyllifolia L.,,,,,,,,,,
Arenga obtusifolia Mart.,,,,,,,,,,
Argemone mexicana L.,,,,,,,,,899,PL
Argemone ochroleuca Sweet,,,,,,,,,,
Argemone subfusiformis Ownbey,,,,,,,,,,
Aristea ecklonii Baker,,,,,,,,,299,PL
Aristida adscensionis L.,,,,,,,,,,
Aristida mutabilis Trin. & Rupr.,,,,,,,,,,
Aristolochia inflata Kunth,,,,,,,,,,
"Armoracia rusticana P.Gaertn., B.Mey. & Scherb.",1,,277,,,,,,,NL
Artemisia dracunculus L.,1,,2,,,,,,,NL
Artemisia siversiana Ehrh. ex Willd.,,,,,,,,,,
Arundo donax L.,1,,196,,,,,,499,NL;PL
Asclepias curassavica L.,1,,196,,,,,,499,NL;PL
Asparagus africanus Lam.,,,,,,,,,,
Asparagus densiflorus (Kunth) Jessop,1,349,1138,,,,,,262,NL;PL
Asparagus officinalis L.,,,,,,,,,469,PL
Asphodelus tenuifolius Cav.,,,,,,,,,,
Aster amellus L.,,,,,,,,,,
Atriplex hortensis L.,,,,,,,,,,
Atriplex vesicaria Heward ex Benth.,,,,,,,,,,
Attalea speciosa Mart.,,,,,,,,,,
Avena sativa L.,,,,,,,,,,
Avena sterilis L.,,,,,,,,,,
Axonopus compressus (Sw.) P.Beauv.,,,,,,,,,,
Axonopus fissifolius (Raddi) Kuhlm.,,,,,,,,,,
Ayapana triplinervis (Vahl) R.M.King & H.Rob.,,,,,,,,,,
Azadirachta indica A.Juss.,,,,1,185,0.5,,148,899,NL;PL
Azolla filiculoides Lam.,,,,,,,,,,
Babiana stricta (Aiton) Ker Gawl.,,,,,,,,,,
Babiana villosa (Aiton) Ker Gawl.,,,,,,,,,,
Bacopa monnieri (L.) Wettst.,1,349,795,,,,,,39,NL;PL
Bambusa vulgaris Schrad.,,,,,,,,,,
Banksia marginata Cav.,,,,,,,,,,
Barbarea intermedia Boreau,,,,,,,,,,
Barbarea verna (Mill.) Asch.,,,,,,,,,,
Barleria cristata L.,1,,221,,,,,,299,NL;PL
Bartlettina sordida (Less.) R.M.King & H.Rob.,,,,,,,,,,
Bauhinia purpurea L.,,,,1,85,0.5,,257,,NL
Bauhinia rufescens Lam.,,,,,,,,,,
Beaucarnea recurvata Lem.,1,549,47,,,,,,554,NL;PL
Begonia cucullata Willd.,,,,,,,,,,
