Acc_Species_Name,0100_Food,0200_Food_Additives,0200_Spices/Herbs,0300_Forage,0300_Fodder,0400_Honey,0500_InvFood,0600_Timber,0600_EssentialOil,0600_Dye,0600_Gum,0600_Fibre,0600_Lipid,0600_Wax,0600_CarvedMaterial,0600_BarkProducts,0600_Cosmetic,0600_Pesticide/Fertilizer,0600_Oil,0600_Chemical,0600_Latex/Rubber,0600_Beads,0600_Basket,0600_Cane,0600_WrappingPaper,0600_Alcohol,0700_Fuels,0700_Fuels,0800_SocialUse,0900_VertPoison,1000_InvertPoison,1100_Medicine,1100_TraditionalMedicine,1200_Agrooforestry,1200_Shade,1200_Barrier,1200_SoilImprover,1200_ErosionControl,1200_Revegetator,1200_Phytoremedy,1200_LandscapeImprover,1200_GreenManure,1200_Mulches,1200_LandReclamation,1200_SoilConservation,1200_Amenity ,1200_Lawn/Turf,1200_PollutionControl,1200_OrnamentalUse,1300_GeneSource,1300_ResearchModel,Source
Agave salmiana Otto ex Salm-Dyck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave vera-cruz Mill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Agave vivipara L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENVIS
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Ageratina ligustrina (DC.) R.M.King & H.Rob.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageratina riparia (Regel) R.M.King & H.Rob.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,GRIN
Ageratum conyzoides (L.) L.,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Ageratum houstonianum Mill.,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,ENVIS
Agonis flexuosa (Muhl. ex Willd.) Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Agrostemma githago L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,ENVIS
Agrostis idahoensis Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,GRIN
Aidia cochinchinensis Lour.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,,,,,1,,1,1,1,1,,1,,,,,,1,,,,,,,,,1,1,,,,1,1,1,1,,,1,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Aiphanes horrida (Jacq.) Burret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Albizia lebbeck (L.) Benth.,,,,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Albizia niopoides (Benth.) Burkart,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,GRIN
Alcea rosea L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Aleurites rockinghamensis (Baill.) P.I.Forst.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisma gramineum Lej.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisma lanceolatum With.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allamanda cathartica L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,1,,,ENVIS
Alliaria petiolata (M.Bieb.) Cavara & Grande,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,ENVIS
Allium ampeloprasum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocasuarina acuaria (F.Muell.) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocasuarina littoralis (Salisb.) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocasuarina torulosa (Aiton) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Allocasuarina verticillata (Lam.) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus glutinosa (L.) Gaertn.,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,,,,,,,,,,,1,,,GRIN;CABI
Aloe vera (L.) Burm.f.,1,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Alopecurus aequalis Sobol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alopecurus arundinaceus Poir.,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,GRIN
Aloysia citriodora Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,UTP
Alphitonia excelsa (Fenzl) Reissek ex Benth.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,GRIN
Alpinia oceanica Burkill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpinia purpurata (Vieill.) K.Schum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,GRIN
Alpinia vittata W.Bull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Alstonia neriifolia D.Don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,UTP
Alstroemeria aurea Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Alternanthera bettzickiana (Regel) G.Nicholson,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1,1,,,,1,,,GRIN;CABI
Alternanthera brasiliana (L.) Kuntze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Alternanthera caracasana Kunth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternanthera ficoidea (L.) Sm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Alternanthera littoralis P.Beauv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternanthera paronychioides A.St.-Hil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.)"
Alternanthera philoxeroides (Mart.) Griseb.,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Alternanthera pungens Kunth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Alternanthera sessilis (L.) R.Br. ex DC.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Alternanthera spinosa (Hornem.) Schult.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Althaea ludwigii L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENVIS
Althaea officinalis L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Alysicarpus vaginalis (L.) DC.,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,,,,,,,,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Amaranthus blitum L.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Amaranthus caudatus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Amaranthus cruentus L.,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.)"
Amaranthus hybridus L.,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.)"
Amaranthus palmeri S.Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,GRIN
Amaranthus polygonoides L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENVIS
Amaranthus retroflexus L.,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,GRIN;CABI
Amaranthus spinosus L.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Amaranthus tricolor L.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Amaranthus viridis L.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Amaryllis belladonna L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,GRIN
Ambrosia artemisiifolia L.,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,GRIN;CABI
Ambrosia polystachya DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphilophium buccinatorium (DC.) L.G.Lohmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Anacardium occidentale L.,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Anacyclus australis Sieber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anagallis arvensis L.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Andropogon hallii Hack.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemone hupehensis (É.Lemoine) É.Lemoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anethum graveolens L.,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Angelonia biflora Benth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelonia gardneri Hook.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angophora floribunda (Sm.) Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angophora subvelutina F.Muell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anigozanthos flavidus DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Annona glabra L.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,GRIN
Anoda cristata (L.) Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Anredera baselloides (Kunth) Baill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,GRIN
Anredera cordifolia (Ten.) Steenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,GRIN;CABI
Anthemis cotula L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,ENVIS
Anthoxanthum odoratum L.,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,ENVIS
Anthurium andraeanum Linden ex André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,GRIN
Anthurium spathiphyllum N.E.Br.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigonon leptopus Hook. & Arn.,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.)"
Antirrhinum majus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ENVIS
Aphelandra arborea (Mill.) M.R.Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelandra aurantiaca (Scheidw.) Lindl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Aphelandra scabra (Vahl) Sm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphloia theiformis (Vahl) Benn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
